 Episode    Policy Loss     Value Loss   Total Reward     Total Loss Curiosity Loss     Time Delta                Time
     216      -129.8994        42.1276           7.36         9.3285        11.8164          7.143 2025-01-03T00:05:54
     217       128.1676       174.3087          24.70       318.5388        10.3217          4.107 2025-01-03T00:05:54
     218       -30.1620        33.4501          -0.05        88.6224        10.2059          5.486 2025-01-03T00:05:54
     219        98.8937        53.0940          19.62       292.1159        16.6675          5.208 2025-01-03T00:05:54
     220       -93.1332        14.9062           5.45        65.3130        15.0993          5.047 2025-01-03T00:05:55
     221        49.9301        17.7782           5.03       164.2540        10.5435          4.876 2025-01-03T00:05:55
     222       128.2996       174.5234          24.75       319.1282        10.3567          3.919 2025-01-03T00:05:56
     223        21.3838        47.2975          14.77       201.3239        15.6291          5.308 2025-01-03T00:05:56
     224       479.2837       434.6877          37.25       884.4254        18.7798          5.130 2025-01-03T00:05:57
     225        12.4346        37.7051           2.34       139.7882        10.8501          5.252 2025-01-03T00:05:58
     226        16.2590         4.4775           1.94       123.7719        10.5274          5.452 2025-01-03T00:05:58
     227        82.9152        23.0239           5.49       201.0744        10.6647          4.931 2025-01-03T00:05:58
     228      -135.0279        31.3929           3.23        -2.2813        11.7050          4.953 2025-01-03T00:05:59
     229         1.9507        11.8538           1.19       112.2057        10.4328          5.201 2025-01-03T00:06:00
     230       381.3347       454.7986          36.55       748.5221        13.9788          5.308 2025-01-03T00:06:00
     231       311.0182       189.2549          25.23       576.3579        17.0712          5.255 2025-01-03T00:06:00
     232        35.3852        49.5769           7.39       211.5182        15.1345          5.013 2025-01-03T00:06:00
     233        15.0373         7.8269          -0.39       121.9422        10.2991          4.905 2025-01-03T00:06:00
     234       382.5303       459.3410          36.49       751.0497        13.8849          4.848 2025-01-03T00:06:00
     235       -66.0803        12.7181           5.39        78.7977        13.8519          5.225 2025-01-03T00:06:01
     236       -68.8302         8.3971           4.68        69.6023        13.4234          5.287 2025-01-03T00:06:02
     237        63.5313         6.6602           1.80       167.8200        10.0959          5.042 2025-01-03T00:06:04
     238        47.7355        19.1094           1.64       167.0267        10.9736          5.572 2025-01-03T00:06:04
     239       -12.4312         5.6092          -0.97        91.7406        10.1367          5.474 2025-01-03T00:06:04
     240      -118.3628        40.1495           2.97        17.0516        11.5340          5.036 2025-01-03T00:06:04
     241        70.1189        12.8316           8.96       223.5151        14.6980          4.954 2025-01-03T00:06:05
     242       -30.1765         3.3035           5.75       118.2308        14.6755          4.993 2025-01-03T00:06:05
     243        -5.7149        80.7834          18.66       213.8858        17.9209          5.257 2025-01-03T00:06:05
     244        71.1598        16.8595           3.46       183.3237        10.3734          5.025 2025-01-03T00:06:05
     245        54.0569        15.1140           1.85       155.7707         9.4157          5.456 2025-01-03T00:06:05
     246        -7.4710        81.8049          18.51       210.8153        17.7384          4.791 2025-01-03T00:06:05
     247       -26.6272         6.2408           6.14       124.0875        14.7594          4.873 2025-01-03T00:06:06
     248      -123.0153        44.0222           4.35        29.1319        13.0136          5.278 2025-01-03T00:06:08
     249       -18.0059        31.9872          -3.09        93.2730         9.5285          5.015 2025-01-03T00:06:09
     250       -95.9626        16.1839           2.48        23.0051        11.0876          4.852 2025-01-03T00:06:09
     251        41.0212         7.1255           1.02       145.4125        10.0829          5.444 2025-01-03T00:06:09
     252        -9.0191        48.3985          -1.83       108.1637         9.2984          5.534 2025-01-03T00:06:09
     253       -28.5564         8.6359          -0.47        94.0216        11.8260          5.035 2025-01-03T00:06:10
     254        42.2056        18.6969           6.42       193.6591        14.2105          4.989 2025-01-03T00:06:10
     255       -98.1163        46.5738           9.66        93.6774        16.8507          5.222 2025-01-03T00:06:10
     256       -98.8326        47.2003           9.39        89.9743        16.5207          4.819 2025-01-03T00:06:10
     257        -7.1239        12.1673          -1.49        99.3097        10.0350          5.361 2025-01-03T00:06:10
     258        79.8404        13.0725           1.58       179.4717         9.3095          5.417 2025-01-03T00:06:10
     259        -2.1343         2.3268           5.32       139.4008        14.0372          4.844 2025-01-03T00:06:11
     260         1.0749         1.0626           5.82       137.1768        13.5571          5.187 2025-01-03T00:06:13
     261       151.3831        56.9369           4.59       271.9199         9.2068          4.797 2025-01-03T00:06:13
     262       -74.2235        11.5833           2.50        39.6602        10.8092          5.313 2025-01-03T00:06:14
     263       112.9859        54.5805           4.29       231.8580         9.1582          5.382 2025-01-03T00:06:14
     264        45.2462        12.5381           0.57       149.5558         9.8041          5.505 2025-01-03T00:06:15
     265        75.9844        34.1195           6.60       207.9804        11.4936          4.995 2025-01-03T00:06:15
     266       -44.5971         4.1565           3.95        88.1525        13.0671          4.968 2025-01-03T00:06:15
     267      -101.9029        49.0971           8.26        74.5769        15.1931          4.868 2025-01-03T00:06:15
